user_id,degree,community_id,weighted_degree,pagerank
393469195,2,0,2.0,0.000526072741118353
759201588594499584,1,0,1.0,0.000526072741118353
1659267216,2,0,2.0,0.0010633005750636277
14966163,1,7,1.0,0.000526072741118353
971051135996964864,1,6,1.0,0.000526072741118353
631310817,2,6,2.0,0.0007143584229406571
14828860,4,0,4.0,0.000526072741118353
16930125,4,6,4.0,0.0008258476372460441
1866938882,3,13,3.0,0.000526072741118353
1099059530132946945,5,6,5.0,0.001657855532757475
1049530141565698049,3,7,3.0,0.0015766185640059822
426028646,5,6,5.0,0.0012166724912538542
14619600,4,5,4.0,0.0010838170054191176
2567365058,3,3,3.0,0.000526072741118353
713839291210792960,1,6,1.0,0.0005332876412811299
2298722492,1,0,1.0,0.0006607701340392857
959285851875196928,2,0,2.0,0.0006127710543554171
26346508,2,9,2.0,0.000526072741118353
1219799093024657408,1,0,1.0,0.0007758286811261304
200534193,3,7,3.0,0.000668240168355536
375691728,10,5,10.0,0.0017008098760897335
309469811,1,0,1.0,0.0007758286811261304
476193064,2,7,2.0,0.0008588758734876108
19682187,21,5,21.0,0.0015752909812175875
4884213678,10,5,10.0,0.0005372558363706571
22799750,2,6,2.0,0.0007129304688676837
827546290221367297,2,7,2.0,0.0006096987611847787
